Date,^GSPC,BTC-USD,2% or less,Crypto 5day retur,Consecutive SP down,,
11/26/12,-0.20%,-1%,0,0%,0,,
11/27/12,-0.52%,0%,0,0%,0,,
11/28/12,0.79%,1%,0,0%,0,,
11/29/12,0.43%,1%,0,0%,0,,
11/30/12,0.02%,1%,0,0%,0,,
12/3/12,-0.47%,1%,0,0%,0,,
12/4/12,-0.17%,6%,0,0%,0,,
12/5/12,0.16%,0%,0,0%,0,,
12/6/12,0.33%,-1%,0,0%,0,,
12/7/12,0.29%,2%,0,0%,0,,
12/10/12,0.03%,-1%,0,0%,0,,
12/11/12,0.65%,1%,0,0%,0,,
12/12/12,0.04%,1%,0,0%,0,,
12/13/12,-0.63%,0%,0,0%,0,,
12/14/12,-0.41%,-1%,0,0%,0,,
12/17/12,1.19%,-3%,0,0%,0,,
12/18/12,1.15%,0%,0,0%,0,,
12/19/12,-0.76%,2%,0,0%,0,,
12/20/12,0.55%,-1%,0,0%,0,,
12/21/12,-0.94%,0%,0,0%,0,,
12/24/12,-0.24%,-1%,0,0%,0,,
12/26/12,-0.48%,1%,0,0%,0,,
12/27/12,-0.12%,0%,0,0%,0,,
12/28/12,-1.10%,0%,0,0%,0,,
12/31/12,1.69%,1%,0,0%,0,,
1/2/13,2.54%,-2%,0,0%,0,,
1/3/13,-0.21%,1%,0,0%,0,,
1/4/13,0.49%,1%,0,0%,0,,
1/7/13,-0.31%,1%,0,0%,0,,
1/8/13,-0.32%,1%,0,0%,0,,
1/9/13,0.27%,0%,0,0%,0,,
1/10/13,0.76%,3%,0,0%,0,,
1/11/13,0.00%,0%,0,0%,0,,
1/14/13,-0.09%,1%,0,0%,0,,
1/15/13,0.11%,0%,0,0%,0,,
1/16/13,0.02%,3%,0,0%,0,,
1/17/13,0.56%,5%,0,0%,0,,
1/18/13,0.34%,1%,0,0%,0,,
1/22/13,0.44%,10%,0,0%,0,,
1/23/13,0.15%,1%,0,0%,0,,
1/24/13,0.00%,-3%,0,0%,0,,
1/25/13,0.54%,3%,0,0%,0,,
1/28/13,-0.18%,8%,0,0%,0,,
1/29/13,0.51%,4%,0,0%,0,,
1/30/13,-0.39%,1%,0,0%,0,,
1/31/13,-0.26%,4%,0,0%,0,,
2/1/13,1.01%,0%,0,0%,0,,
2/4/13,-1.15%,0%,0,0%,0,,
2/5/13,1.04%,1%,0,0%,0,,
2/6/13,0.05%,3%,0,0%,0,,
2/7/13,-0.18%,5%,0,0%,0,,
2/8/13,0.57%,2%,0,0%,0,,
2/11/13,-0.06%,9%,0,0%,0,,
2/12/13,0.16%,2%,0,0%,0,,
2/13/13,0.06%,-4%,0,0%,0,,
2/14/13,0.07%,12%,0,0%,0,,
2/15/13,-0.10%,0%,0,0%,0,,
2/19/13,0.73%,9%,0,0%,0,,
2/20/13,-1.24%,1%,0,0%,0,,
2/21/13,-0.63%,0%,0,0%,0,,
2/22/13,0.88%,2%,0,0%,0,,
2/25/13,-1.83%,0%,0,0%,0,,
2/26/13,0.61%,2%,0,0%,0,,
2/27/13,1.27%,-1%,0,0%,0,,
2/28/13,-0.09%,8%,0,0%,0,,
3/1/13,0.23%,3%,0,0%,0,,
3/4/13,0.46%,5%,0,0%,0,,
3/5/13,0.96%,12%,0,0%,0,,
3/6/13,0.11%,2%,0,0%,0,,
3/7/13,0.18%,2%,0,0%,0,,
3/8/13,0.45%,5%,0,0%,0,,
3/11/13,0.32%,10%,0,0%,0,,
3/12/13,-0.24%,-8%,0,0%,0,,
3/13/13,0.13%,6%,0,0%,0,,
3/14/13,0.56%,1%,0,0%,0,,
3/15/13,-0.16%,0%,0,0%,0,,
3/18/13,-0.55%,10%,0,0%,0,,
3/19/13,-0.24%,15%,0,0%,0,,
3/20/13,0.67%,9%,0,0%,0,,
3/21/13,-0.83%,10%,0,0%,0,,
3/22/13,0.72%,-1%,0,0%,0,,
3/25/13,-0.33%,5%,0,0%,0,,
3/26/13,0.78%,7%,0,0%,0,,
3/27/13,-0.06%,13%,0,0%,0,,
3/28/13,0.41%,-3%,0,0%,0,,
4/1/13,-0.45%,37%,0,0%,0,,
4/2/13,0.52%,14%,0,0%,0,,
4/3/13,-1.05%,-2%,0,0%,0,,
4/4/13,0.40%,8%,0,0%,0,,
4/5/13,-0.43%,0%,0,0%,0,,
4/8/13,0.63%,61%,0,0%,0,,
4/9/13,0.35%,-28%,0,0%,0,,
4/10/13,1.22%,-24%,0,0%,0,,
4/11/13,0.36%,-6%,0,0%,0,,
4/12/13,-0.28%,-21%,0,0%,0,,
4/15/13,-2.30%,-26%,1,56%,0,,
4/16/13,1.43%,36%,0,0%,0,,
4/17/13,-1.43%,17%,0,0%,0,,
4/18/13,-0.67%,9%,0,0%,0,0,
4/19/13,0.88%,7%,0,0%,0,,0
4/22/13,0.47%,13%,0,0%,0,,
4/23/13,1.04%,7%,0,0%,0,,
4/24/13,0.00%,-8%,0,0%,0,,
4/25/13,0.40%,-3%,0,0%,0,,
4/26/13,-0.18%,-7%,0,0%,0,,
4/29/13,0.72%,9%,0,0%,0,,
